FECHA;CLASE;DIA_NOMBRE;PERIODO;FESTIVO;NAVIDAD;SEMSANTA;ESCOLAR;ACCIDENTES
2019-03-03;INCENDIO;DOMINGO;2019;No;No;No;No;1
2019-03-03;OTRO;DOMINGO;2019;No;No;No;No;9
2019-03-03;VOLCAMIENTO;DOMINGO;2019;No;No;No;No;3
2019-03-04;ATROPELLO;LUNES;2019;Si;No;No;No;9
2019-03-04;CAIDA OCUPANTE;LUNES;2019;Si;No;No;No;8
2019-03-04;CHOQUE;LUNES;2019;Si;No;No;No;58
2019-03-04;INCENDIO;LUNES;2019;Si;No;No;No;1
2019-03-04;OTRO;LUNES;2019;Si;No;No;No;9
2019-03-04;VOLCAMIENTO;LUNES;2019;Si;No;No;No;3
2019-03-05;ATROPELLO;MARTES;2019;No;No;No;No;13
2019-03-05;CAIDA OCUPANTE;MARTES;2019;No;No;No;No;11
2019-03-05;CHOQUE;MARTES;2019;No;No;No;No;86
2019-03-05;INCENDIO;MARTES;2019;No;No;No;No;1
2019-03-05;OTRO;MARTES;2019;No;No;No;No;14
2019-03-05;VOLCAMIENTO;MARTES;2019;No;No;No;No;4
2019-03-06;ATROPELLO;MIERCOLES;2019;No;No;No;No;12
2019-03-06;CAIDA OCUPANTE;MIERCOLES;2019;No;No;No;No;11
2019-03-06;CHOQUE;MIERCOLES;2019;No;No;No;No;84
2019-03-06;INCENDIO;MIERCOLES;2019;No;No;No;No;1
2019-03-06;OTRO;MIERCOLES;2019;No;No;No;No;14
2019-03-06;VOLCAMIENTO;MIERCOLES;2019;No;No;No;No;4
2019-03-07;ATROPELLO;JUEVES;2019;No;No;No;No;12
2019-03-07;CAIDA OCUPANTE;JUEVES;2019;No;No;No;No;11
2019-03-07;CHOQUE;JUEVES;2019;No;No;No;No;84
2019-03-07;INCENDIO;JUEVES;2019;No;No;No;No;1
2019-03-07;OTRO;JUEVES;2019;No;No;No;No;14
2019-03-08;ATROPELLO;VIERNES;2019;No;No;No;No;13
2019-03-08;CAIDA OCUPANTE;VIERNES;2019;No;No;No;No;12
2019-03-08;CHOQUE;VIERNES;2019;No;No;No;No;88
2019-03-08;INCENDIO;VIERNES;2019;No;No;No;No;1
